step,loss,reward,reward_std,mean_length,min_length,max_length,clipped_ratio,mean_term_length,min_term_length,max_term_length,kl,format_exact,format_exact_std,format_approx,format_approx_std,check_action,check_action_std,check_env,check_env_std
67,0.000300,11.000000,0.000000,38.875000,24.000000,65.000000,0.000000,38.875000,24.000000,65.000000,0.315363,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
68,0.000400,11.000000,0.000000,39.406250,24.000000,57.000000,0.000000,39.406250,24.000000,57.000000,0.424817,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
69,0.000400,11.000000,0.000000,38.250000,25.000000,60.000000,0.000000,38.250000,25.000000,60.000000,0.443229,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
70,0.000300,11.000000,0.000000,40.218750,24.000000,65.000000,0.000000,40.218750,24.000000,65.000000,0.365428,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
71,0.000400,11.000000,0.000000,39.593750,24.000000,68.000000,0.000000,39.593750,24.000000,68.000000,0.381942,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
72,0.000400,11.000000,0.000000,40.406250,25.000000,54.000000,0.000000,40.406250,25.000000,54.000000,0.429091,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
73,0.000400,11.000000,0.000000,38.031250,26.000000,50.000000,0.000000,38.031250,26.000000,50.000000,0.406622,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
74,-0.013000,10.906250,0.265165,37.437500,24.000000,58.000000,0.000000,37.437500,24.000000,58.000000,0.476853,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
75,0.000400,11.000000,0.000000,34.093750,22.000000,61.000000,0.000000,34.093750,22.000000,61.000000,0.464751,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
76,0.000300,11.000000,0.000000,38.656250,24.000000,63.000000,0.000000,38.656250,24.000000,63.000000,0.336386,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
77,0.000300,11.000000,0.000000,41.343750,24.000000,62.000000,0.000000,41.343750,24.000000,62.000000,0.323554,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
78,0.000300,11.000000,0.000000,36.937500,24.000000,57.000000,0.000000,36.937500,24.000000,57.000000,0.346347,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
79,0.000400,11.000000,0.000000,36.437500,22.000000,61.000000,0.000000,36.437500,22.000000,61.000000,0.421206,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
80,-0.011900,10.906250,0.265165,35.656250,24.000000,58.000000,0.000000,35.656250,24.000000,58.000000,0.379356,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
81,0.000400,11.000000,0.000000,39.593750,22.000000,55.000000,0.000000,39.593750,22.000000,55.000000,0.388802,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
82,0.000400,11.000000,0.000000,38.312500,24.000000,68.000000,0.000000,38.312500,24.000000,68.000000,0.421419,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
83,0.012300,10.718750,0.795495,37.250000,24.000000,63.000000,0.000000,37.250000,24.000000,63.000000,0.373088,2.906250,0.530330,2.000000,0.000000,4.359375,0.795495,1.453125,0.265165
84,0.000400,11.000000,0.000000,38.625000,24.000000,51.000000,0.000000,38.625000,24.000000,51.000000,0.410394,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
85,0.108700,10.906250,0.265165,38.687500,24.000000,96.000000,0.000000,38.687500,24.000000,96.000000,0.377739,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
86,0.000400,11.000000,0.000000,39.125000,25.000000,58.000000,0.000000,39.125000,25.000000,58.000000,0.422530,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
87,0.000500,11.000000,0.000000,34.843750,25.000000,49.000000,0.000000,34.843750,25.000000,49.000000,0.478148,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
88,0.000400,11.000000,0.000000,35.500000,24.000000,59.000000,0.000000,35.500000,24.000000,59.000000,0.439765,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
89,0.000400,11.000000,0.000000,37.093750,25.000000,59.000000,0.000000,37.093750,25.000000,59.000000,0.423855,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
90,0.000300,11.000000,0.000000,38.406250,24.000000,58.000000,0.000000,38.406250,24.000000,58.000000,0.340096,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
91,0.000400,11.000000,0.000000,36.187500,25.000000,57.000000,0.000000,36.187500,25.000000,57.000000,0.444503,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
